timestamp,region,latitude,longitude,PM10,NO2,O3,CO,PM25
22/04/2024 14:06,North,1.35735,103.7,32,37,52,0.9,17
22/04/2024 14:06,South,1.35735,103.94,26,20,9,0.7,16
22/04/2024 14:06,East,1.35735,103.82,33,36,26,0.8,24
22/04/2024 14:06,West,1.29587,103.82,34,57,9,0.8,16
22/04/2024 14:06,Central,1.41803,103.82,28,38,26,0.5,16
22/04/2024 16:11,North,1.35735,103.7,33,44,64,0.8,18
22/04/2024 16:11,South,1.35735,103.94,27,20,20,0.6,16
22/04/2024 16:11,East,1.35735,103.82,33,36,31,0.7,24
22/04/2024 16:11,West,1.29587,103.82,36,63,17,0.7,17
22/04/2024 16:11,Central,1.41803,103.82,28,39,44,0.4,16
22/04/2024 18:17,North,1.35735,103.7,33,75,73,0.7,18
22/04/2024 18:17,South,1.35735,103.94,26,15,28,0.5,16
22/04/2024 18:17,East,1.35735,103.82,31,28,45,0.5,23
22/04/2024 18:17,West,1.29587,103.82,37,32,26,0.6,17
22/04/2024 18:17,Central,1.41803,103.82,27,29,62,0.2,16
22/04/2024 20:17,North,1.35735,103.7,35,69,64,0.7,19
22/04/2024 20:17,South,1.35735,103.94,27,20,32,0.5,16
22/04/2024 20:17,East,1.35735,103.82,33,29,52,0.5,22
22/04/2024 20:17,West,1.29587,103.82,38,58,29,0.5,17
22/04/2024 20:17,Central,1.41803,103.82,27,43,65,0.2,16
22/04/2024 22:17,North,1.35735,103.7,35,43,46,0.7,20
22/04/2024 22:17,South,1.35735,103.94,26,21,32,0.5,15
22/04/2024 22:17,East,1.35735,103.82,35,40,50,0.5,22
22/04/2024 22:17,West,1.29587,103.82,40,70,26,0.5,18
22/04/2024 22:17,Central,1.41803,103.82,28,58,58,0.2,15
23/04/2024 00:17,North,1.35735,103.7,27,79,47,0.8,12
23/04/2024 00:17,South,1.35735,103.94,21,31,26,0.6,13
23/04/2024 00:17,East,1.35735,103.82,24,61,37,0.7,16
23/04/2024 00:17,West,1.29587,103.82,20,35,31,0.5,9
23/04/2024 00:17,Central,1.41803,103.82,29,31,30,0.6,14
23/04/2024 02:17,North,1.35735,103.7,27,88,29,1,13
23/04/2024 02:17,South,1.35735,103.94,21,28,21,0.6,13
23/04/2024 02:17,East,1.35735,103.82,26,59,13,0.7,17
23/04/2024 02:17,West,1.29587,103.82,21,53,24,0.6,10
23/04/2024 02:17,Central,1.41803,103.82,28,28,21,0.6,14
23/04/2024 04:17,North,1.35735,103.7,28,60,17,1.1,13
23/04/2024 04:17,South,1.35735,103.94,23,21,11,0.7,14
23/04/2024 04:17,East,1.35735,103.82,28,36,8,0.8,19
23/04/2024 04:17,West,1.29587,103.82,23,53,14,0.7,11
23/04/2024 04:17,Central,1.41803,103.82,28,21,11,0.7,15
23/04/2024 06:17,North,1.35735,103.7,27,56,13,1.1,14
23/04/2024 06:17,South,1.35735,103.94,25,18,6,0.7,15
23/04/2024 06:17,East,1.35735,103.82,31,44,6,0.8,21
23/04/2024 06:17,West,1.29587,103.82,26,49,7,0.9,12
23/04/2024 06:17,Central,1.41803,103.82,29,18,6,0.7,15
23/04/2024 08:17,North,1.35735,103.7,27,50,11,1.1,15
23/04/2024 08:17,South,1.35735,103.94,27,20,4,0.7,17
23/04/2024 08:17,East,1.35735,103.82,32,31,7,0.9,23
23/04/2024 08:17,West,1.29587,103.82,28,37,4,1,13
23/04/2024 08:17,Central,1.41803,103.82,29,20,4,0.7,16
23/04/2024 10:17,North,1.35735,103.7,29,66,11,1,16
23/04/2024 10:17,South,1.35735,103.94,27,20,4,0.7,17
23/04/2024 10:17,East,1.35735,103.82,32,56,12,1,23
23/04/2024 10:17,West,1.29587,103.82,30,36,4,1,14
23/04/2024 10:17,Central,1.41803,103.82,29,21,5,0.7,16
23/04/2024 12:17,North,1.35735,103.7,30,64,27,1,16
23/04/2024 12:17,South,1.35735,103.94,27,23,5,0.7,16
23/04/2024 12:17,East,1.35735,103.82,32,29,17,0.9,24
23/04/2024 12:17,West,1.29587,103.82,32,61,5,0.9,15
23/04/2024 12:17,Central,1.41803,103.82,29,56,13,0.6,16
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
